Student ID	Full Name	NIC Number	Course Code	GPA	District	Is Enrolled	Date of Birth
STU1089	Nimal Fernando	9602899019v	IT303	3.99	Gampaha	FALSE	3/25/1990
STU1037	Ruwan Jayakody	9521757480v	SE202	3.99	Matale	TRUE	9/2/1999
STU1075	Kamal de Silva	9631257772v	SE202	3.98	Colombo	TRUE	9/23/1999
STU1018	Kamal Dissanayake	9303634184v	SE202	3.97	Kalutara	FALSE	2/9/1995
STU1116	Lahiru Perera	9132088128v	ENG101	3.97	Kurunegala	TRUE	7/2/1993
STU1128	Kamal de Silva	9902838982v	IT303	3.94	Anuradhapura	FALSE	12/12/1995
STU1081	Kasun Dissanayake	9731161155v	ENG101	3.93	Matale	TRUE	5/12/1994
STU1108	Nimal Bandara	9023495069v	ENG101	3.93	Galle	FALSE	5/5/1994
STU1012	Ruwan de Silva	9131824126v	IT303	3.93	Gampaha	FALSE	9/4/1999
STU1129	Saman Gunawardena	9931381354v	IS404	3.92	Kurunegala	TRUE	6/23/1991
STU1035	Chathura Perera	9011713780v	IS404	3.91	Anuradhapura	TRUE	2/14/1993
STU1001	Ishara Dissanayake	9902814891v	SE202	3.91	Galle	TRUE	2/9/1995
STU1066	Kamal Jayakody	9902299739v	MAT201	3.91	Galle	FALSE	5/26/1995
STU1064	Chathura Jayakody	9023249784v	IS404	3.89	Matara	FALSE	9/14/1996
STU1091	Kasun Weerasinghe	9731836666v	DS505	3.89	Kurunegala	FALSE	11/2/1990
STU1135	Kasun Weerasinghe	9532787798v	IT303	3.89	Galle	FALSE	2/4/1994
STU1040	Kamal Jayasinghe	9933236323v	ENG101	3.85	Gampaha	FALSE	12/22/1994
STU1005	Kamal Weerasinghe	9912815513v	MAT201	3.85	Anuradhapura	FALSE	7/9/1999
STU1126	Saman de Silva	9712688637v	IS404	3.85	Ratnapura	FALSE	12/21/1995
STU1028	Saman Bandara	9731258477v	IT303	3.84	Matale	TRUE	10/15/1992
STU1098	Chathura Weerasinghe	9303205204v	SE202	3.80	Matara	TRUE	9/19/1990
